"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","8","","","","","","Hoover does not move if driving into a wall -- @1.5 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","14","","","","","","Hoover does not move if driving into a wall -- @1.3 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","7","","","","","","Invalid parameters handling -- @1.4 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","20","","","","","","Hoover navigates the room and cleans patches of dirt -- @1.1 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","7","","","","","","Invalid parameters handling -- @1.9 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","5","","","","","","Invalid parameters handling -- @1.5 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","6","","","","","","Invalid parameters handling -- @1.3 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","9","","","","","","Hoover does not move if driving into a wall -- @1.4 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","29","","","","","","Hoover navigates the room and cleans patches of dirt -- @1.3 ",""
"passed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","7","","","","","","Hoover does not move if driving into a wall -- @1.6 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","7","","","","","","Invalid parameters handling -- @1.15 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","7","","","","","","Invalid parameters handling -- @1.1 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","6","","","","","","Invalid parameters handling -- @1.7 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","7","","","","","","Invalid parameters handling -- @1.8 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","7","","","","","","Invalid parameters handling -- @1.2 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","6","","","","","","Invalid parameters handling -- @1.12 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","28","","","","","","Hoover navigates the room and cleans patches of dirt -- @1.2 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","6","","","","","","Invalid parameters handling -- @1.11 ",""
"passed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","8","","","","","","Hoover does not move if driving into a wall -- @1.2 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","13","","","","","","Missing payload information -- @1.2 ",""
"passed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","9","","","","","","Hoover does not move if driving into a wall -- @1.1 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","11","","","","","","Missing payload information -- @1.1 ",""
"passed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","5","","","","","","Invalid parameters handling -- @1.13 ",""
"failed","Fri Apr 28 02:33:08 CST 2023","Fri Apr 28 02:33:08 CST 2023","24","","","","","","Missing payload information -- @1.3 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","6","","","","","","Invalid parameters handling -- @1.10 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:07 CST 2023","5","","","","","","Invalid parameters handling -- @1.6 ",""
"failed","Fri Apr 28 02:33:07 CST 2023","Fri Apr 28 02:33:08 CST 2023","8","","","","","","Invalid parameters handling -- @1.14 ",""
